question,ground_truth,question_type
Quem cunhou o termo 'inteligência artificial' e em que ano?,"O termo 'inteligência artificial' foi cunhado por John McCarthy em 1956, durante a Conferência de Dartmouth.",simple
O que foi o Teste de Turing e quem o propôs?,O Teste de Turing foi proposto por Alan Turing em 1950 como critério para avaliar se uma máquina pode exibir comportamento inteligente equivalente ao humano.,simple
Quais foram os períodos dos dois 'Invernos da IA' e qual foi a causa do desinvestimento?,"O primeiro Inverno da IA ocorreu entre 1974 e 1980, e o segundo entre 1987 e 1993. Os financiamentos foram cortados nesses períodos devido à falta de progresso real, após promessas exageradas nas décadas de 1950 e 1960.",multi_context
Qual foi a importância da rede neural AlexNet para a história da inteligência artificial?,"Em 2012, a rede neural AlexNet venceu a competição ImageNet com uma margem impressionante, inaugurando a era do deep learning.",simple
Quantos parâmetros possui o GPT-3 e quando foi lançado?,"O GPT-3 foi lançado em 2020 e possui 175 bilhões de parâmetros, sendo um marco em geração de texto.",simple
Por que o ChatGPT é considerado o produto de crescimento mais rápido da história?,"O ChatGPT, lançado em novembro de 2022, atingiu 1 milhão de usuários em apenas 5 dias, o que o tornou o produto de crescimento mais rápido da história.",reasoning
"Considerando a linha do tempo da IA, quanto tempo se passou entre a proposta do Teste de Turing e o lançamento do ChatGPT?","O Teste de Turing foi proposto por Alan Turing em 1950 e o ChatGPT foi lançado em novembro de 2022, portanto se passaram 72 anos entre os dois eventos.",reasoning
Quais são os principais desafios éticos da inteligência artificial mencionados no texto e quais organizações trabalham para mitigá-los?,"Os principais desafios éticos mencionados são: viés algorítmico, privacidade de dados, substituição de empregos e o alinhamento de sistemas de IA com valores humanos. As organizações Future of Life Institute e a Anthropic trabalham em segurança de IA.",multi_context
Qual é a situação do Brasil em relação à regulamentação e à pesquisa em inteligência artificial?,"O Brasil aprovou em 2024 um marco regulatório para inteligência artificial, tornando-se um dos primeiros países da América Latina a regulamentar a área. Em pesquisa, centros como o IMPA e universidades como USP e UNICAMP possuem grupos ativos de pesquisa em IA.",multi_context
Quais são as aplicações atuais da inteligência artificial citadas no texto?,"As aplicações atuais da IA citadas no texto incluem: diagnóstico médico, veículos autônomos, reconhecimento de voz e imagem, tradução automática, sistemas de recomendação (como Netflix e Spotify) e assistentes virtuais como Siri, Alexa e Google Assistant.",simple
